project, pr_id, user, pr_title, URL
hexojs/hexo,1579,winterTTr,Fix the issue that cannot use space in tag arguments,https://github.com/hexojs/hexo/pull/1579
hexojs/hexo,1557,petergoes,Adds swig-lodash support,https://github.com/hexojs/hexo/pull/1557
hexojs/hexo,1526,giuseppelt,Fix category path when placed on root,https://github.com/hexojs/hexo/pull/1526
hexojs/hexo,1428,cazgp,Allow specifying classes of code blocks to be excluded from processing.,https://github.com/hexojs/hexo/pull/1428
hexojs/hexo,1389,leesei,[helper] add log(),https://github.com/hexojs/hexo/pull/1389
hexojs/hexo,1376,sfitzpatrick,Steven branch,https://github.com/hexojs/hexo/pull/1376
hexojs/hexo,1375,automatical,Ac branch,https://github.com/hexojs/hexo/pull/1375
hexojs/hexo,1325,Xuanwo,Try to fix appveyor failed,https://github.com/hexojs/hexo/pull/1325
hexojs/hexo,1320,Xuanwo,add https,https://github.com/hexojs/hexo/pull/1320
hexojs/hexo,1301,iissnan,Fixed is_home() helper which always return false,https://github.com/hexojs/hexo/pull/1301
hexojs/hexo,1250,WolfgangKluge,Remove the extension from internal links.,https://github.com/hexojs/hexo/pull/1250
hexojs/hexo,1237,ahaasler,Fix is_post() helper not validating permalinks with language tags,https://github.com/hexojs/hexo/pull/1237
hexojs/hexo,1218,bubkoo,fixed: issues 1216,https://github.com/hexojs/hexo/pull/1218
hexojs/hexo,1156,ppoffice,fix child categories duplication issue,https://github.com/hexojs/hexo/pull/1156
hexojs/hexo,1131,naokiy,fix post.setCategories,https://github.com/hexojs/hexo/pull/1131
hexojs/hexo,1051,kqkq,Fix search form overlap issue (issue #1050),https://github.com/hexojs/hexo/pull/1051
hexojs/hexo,997,hxy9243,Adding save files to keep files from generator deletion,https://github.com/hexojs/hexo/pull/997
hexojs/hexo,996,hxy9243,Adding save files feature to keep files in public folder from deletion,https://github.com/hexojs/hexo/pull/996
hexojs/hexo,970,slfmessi,Merge pull request #1 from hexojs/master,https://github.com/hexojs/hexo/pull/970
hexojs/hexo,965,johnmarkos,Add coverage for hexo#init.,https://github.com/hexojs/hexo/pull/965
hexojs/hexo,947,guiohm,Open graph fully absolute urls support,https://github.com/hexojs/hexo/pull/947
hexojs/hexo,946,shinnn,Bump deps / Update gulpfile, .travis.yml and .npmignore,https://github.com/hexojs/hexo/pull/946
hexojs/hexo,945,ioxo,Add locale support to date function,https://github.com/hexojs/hexo/pull/945
hexojs/hexo,936,RussTheAerialist,Add a configuration option reverse_order for pagination,https://github.com/hexojs/hexo/pull/936
hexojs/hexo,930,bwinton,Fix typo in this.options for chokidar.,https://github.com/hexojs/hexo/pull/930
hexojs/hexo,927,kumalee,add gitcafe deployment,https://github.com/hexojs/hexo/pull/927
hexojs/hexo,926,xing5,Rendering Problems of Code Blocks Contain {{ }},https://github.com/hexojs/hexo/pull/926
hexojs/hexo,909,phoenixlzx,use UTC date in permalink to prevent url change,https://github.com/hexojs/hexo/pull/909
hexojs/hexo,904,xing5,Fixed #902: a bug of code block caused by span tags that cross multiple lines.,https://github.com/hexojs/hexo/pull/904
hexojs/hexo,885,mm--,Fix issue #797, don't render draft assets,https://github.com/hexojs/hexo/pull/885
hexojs/hexo,877,leopku,add span for more control in tagcloud,https://github.com/hexojs/hexo/pull/877
hexojs/hexo,861,magicdawn,prevent console.log( http://0.0.0.0:4000 ),https://github.com/hexojs/hexo/pull/861
hexojs/hexo,843,marvin-zhao,add category prefix,suffix,https://github.com/hexojs/hexo/pull/843
hexojs/hexo,804,timnew,#802 Escape all symbols in file name and path,https://github.com/hexojs/hexo/pull/804
hexojs/hexo,795,0ssifrage,fix blank lines for #792 #774,https://github.com/hexojs/hexo/pull/795
hexojs/hexo,794,0ssifrage,fix blank lines for #792 #774,https://github.com/hexojs/hexo/pull/794
hexojs/hexo,780,NicholasTD07,Use ul tag to avoid duplicated prefixing indexes.,https://github.com/hexojs/hexo/pull/780
hexojs/hexo,771,varkadov,Add root path to permalink,https://github.com/hexojs/hexo/pull/771
hexojs/hexo,767,tommy351,Tab completion,https://github.com/hexojs/hexo/pull/767
hexojs/hexo,763,xcatliu,ignore node_modules/hexo-theme-* as plugin,https://github.com/hexojs/hexo/pull/763
hexojs/hexo,709,sergiolepore,fix travis-ci badge on readme,https://github.com/hexojs/hexo/pull/709
hexojs/hexo,680,andrewboni,Makes Hexo post slug all lowercase by default,https://github.com/hexojs/hexo/pull/680
hexojs/hexo,573,jr0cket,Add Hexo clean command to the quick start,https://github.com/hexojs/hexo/pull/573
hexojs/hexo,504,chenall,關於 source_dir and public_dir 自動配置,https://github.com/hexojs/hexo/pull/504
hexojs/hexo,489,kywk,Add sort_by 'updated' / 'auto',https://github.com/hexojs/hexo/pull/489
hexojs/hexo,468,shulhi,Added feature to customize server address in console,https://github.com/hexojs/hexo/pull/468
hexojs/hexo,465,chenall,add helper plugins `list_posts`,`get_posts`,https://github.com/hexojs/hexo/pull/465
hexojs/hexo,454,chenall,using theme config in source_dir #440,https://github.com/hexojs/hexo/pull/454
hexojs/hexo,450,kywk,Add page.snippet & page.thumb at Page Variable,https://github.com/hexojs/hexo/pull/450
hexojs/hexo,449,kywk,Add page.snippet & page.thumb at Page Variable,https://github.com/hexojs/hexo/pull/449
hexojs/hexo,440,chenall,use $source\_$theme.yml file for theme config,https://github.com/hexojs/hexo/pull/440
hexojs/hexo,370,xcoderzach,make --safe flag work (fix misspelling),https://github.com/hexojs/hexo/pull/370
hexojs/hexo,338,sergiolepore,Draft management,https://github.com/hexojs/hexo/pull/338
hexojs/hexo,290,tommy351,Web UI,https://github.com/hexojs/hexo/pull/290
hexojs/hexo,289,tommy351,Web UI,https://github.com/hexojs/hexo/pull/289
hexojs/hexo,246,oncletom,Adding ignore option to ignore a list of elements during the sync,https://github.com/hexojs/hexo/pull/246
hexojs/hexo,210,sonald,use better escaping in console/new,https://github.com/hexojs/hexo/pull/210
hexojs/hexo,207,chenzaichun,Fix multi categories slug errors,https://github.com/hexojs/hexo/pull/207
hexojs/hexo,129,marcosmesser,added cite plugin,https://github.com/hexojs/hexo/pull/129
hexojs/hexo,123,wd,做了些小的修复,https://github.com/hexojs/hexo/pull/123
hexojs/hexo,90,Jreen, README.md增加简体中文介绍,https://github.com/hexojs/hexo/pull/90
hexojs/hexo,83,chrisyip,add catch block to make it works as expected,https://github.com/hexojs/hexo/pull/83
hexojs/hexo,81,chrisyip,#70 add case option for writing files and folders,https://github.com/hexojs/hexo/pull/81
hexojs/hexo,68,zhuangya,Refs #64,https://github.com/hexojs/hexo/pull/68
hexojs/hexo,60,ohsc,Add support to read date from filename when new_post_name was set. ,https://github.com/hexojs/hexo/pull/60
hexojs/hexo,53,zmmbreeze,Fix a potential bug,https://github.com/hexojs/hexo/pull/53
hexojs/hexo,32,aetherwu,try fix rsync func.,https://github.com/hexojs/hexo/pull/32
hexojs/hexo,31,aetherwu,I've trid fix rsync error.,https://github.com/hexojs/hexo/pull/31
